8.4, {'train_loss_epoch_ave': [tensor(908046.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.45, {'train_loss_epoch_ave': [tensor(799710.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.5, {'train_loss_epoch_ave': [tensor(994407.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.55, {'train_loss_epoch_ave': [tensor(950524.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.6, {'train_loss_epoch_ave': [tensor(735412.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.65, {'train_loss_epoch_ave': [tensor(1423166.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.7, {'train_loss_epoch_ave': [tensor(669067.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.75, {'train_loss_epoch_ave': [tensor(868158.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.8, {'train_loss_epoch_ave': [tensor(1427744., device='cuda:0')], 'valid_loss_epoch_ave': []}
8.85, {'train_loss_epoch_ave': [tensor(775349.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.9, {'train_loss_epoch_ave': [tensor(872921.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.95, {'train_loss_epoch_ave': [tensor(707053.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.0, {'train_loss_epoch_ave': [tensor(1337504.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.05, {'train_loss_epoch_ave': [tensor(990370.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.1, {'train_loss_epoch_ave': [tensor(1094806.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.15, {'train_loss_epoch_ave': [tensor(778326.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.2, {'train_loss_epoch_ave': [tensor(1002258.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.25, {'train_loss_epoch_ave': [tensor(888164.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.3, {'train_loss_epoch_ave': [tensor(649570.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.35, {'train_loss_epoch_ave': [tensor(658360.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.4, {'train_loss_epoch_ave': [tensor(1105345., device='cuda:0')], 'valid_loss_epoch_ave': []}
9.45, {'train_loss_epoch_ave': [tensor(412917.0312, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.5, {'train_loss_epoch_ave': [tensor(863436.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.55, {'train_loss_epoch_ave': [tensor(810970.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.6, {'train_loss_epoch_ave': [tensor(1300350.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.65, {'train_loss_epoch_ave': [tensor(510641.9688, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.7, {'train_loss_epoch_ave': [tensor(852967., device='cuda:0')], 'valid_loss_epoch_ave': []}
9.75, {'train_loss_epoch_ave': [tensor(1171937.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.8, {'train_loss_epoch_ave': [tensor(1272559.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.85, {'train_loss_epoch_ave': [tensor(756066.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.9, {'train_loss_epoch_ave': [tensor(691331.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
9.95, {'train_loss_epoch_ave': [tensor(1321820.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.0, {'train_loss_epoch_ave': [tensor(674846.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.05, {'train_loss_epoch_ave': [tensor(991718.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.1, {'train_loss_epoch_ave': [tensor(1075331.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.15, {'train_loss_epoch_ave': [tensor(622487.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.2, {'train_loss_epoch_ave': [tensor(1115434., device='cuda:0')], 'valid_loss_epoch_ave': []}
10.25, {'train_loss_epoch_ave': [tensor(884926.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.3, {'train_loss_epoch_ave': [tensor(689705.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.35, {'train_loss_epoch_ave': [tensor(626488.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.4, {'train_loss_epoch_ave': [tensor(1039475.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.45, {'train_loss_epoch_ave': [tensor(817897.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.5, {'train_loss_epoch_ave': [tensor(1602763.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.55, {'train_loss_epoch_ave': [tensor(654246.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.6, {'train_loss_epoch_ave': [tensor(790324.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.65, {'train_loss_epoch_ave': [tensor(1173415.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.7, {'train_loss_epoch_ave': [tensor(583775.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.75, {'train_loss_epoch_ave': [tensor(525738.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.8, {'train_loss_epoch_ave': [tensor(819208.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.85, {'train_loss_epoch_ave': [tensor(3118057.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.9, {'train_loss_epoch_ave': [tensor(582186.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
10.95, {'train_loss_epoch_ave': [tensor(967928.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.0, {'train_loss_epoch_ave': [tensor(860627.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.05, {'train_loss_epoch_ave': [tensor(825208.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.1, {'train_loss_epoch_ave': [tensor(794746.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.15, {'train_loss_epoch_ave': [tensor(1210675., device='cuda:0')], 'valid_loss_epoch_ave': []}
11.2, {'train_loss_epoch_ave': [tensor(1427261.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.25, {'train_loss_epoch_ave': [tensor(1978882.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.3, {'train_loss_epoch_ave': [tensor(1138449.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.35, {'train_loss_epoch_ave': [tensor(559314.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.4, {'train_loss_epoch_ave': [tensor(1195017.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
